seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;51;17;1.0;1.0;1.0;1.0
42;2;51;17;1.0;1.0;1.0;1.0
42;3;51;17;1.0;1.0;1.0;1.0
42;4;51;17;0.9411764705882353;0.9333333333333333;0.8811188811188811;1.0
43;1;51;17;1.0;1.0;1.0;1.0
43;2;51;17;1.0;1.0;1.0;1.0
43;3;51;17;1.0;1.0;1.0;1.0
43;4;51;17;1.0;1.0;1.0;1.0
44;1;51;17;1.0;1.0;1.0;1.0
44;2;51;17;1.0;1.0;1.0;1.0
44;3;51;17;1.0;1.0;1.0;1.0
44;4;51;17;0.8823529411764706;0.8571428571428571;0.7605633802816901;1.0
45;1;51;17;1.0;1.0;1.0;1.0
45;2;51;17;1.0;1.0;1.0;1.0
45;3;51;17;1.0;1.0;1.0;1.0
45;4;51;17;0.9411764705882353;0.9333333333333333;0.8811188811188811;1.0
46;1;51;17;1.0;1.0;1.0;1.0
46;2;51;17;1.0;1.0;1.0;1.0
46;3;51;17;1.0;1.0;1.0;1.0
46;4;51;17;1.0;1.0;1.0;1.0
