modelo;modo;genotipo;fold;real;predito;n
random_forest;por_genotipo;BR16;1;IRRIG;IRRIG;64
random_forest;por_genotipo;BR16;1;NIRRIG;IRRIG;1
random_forest;por_genotipo;BR16;1;IRRIG;NIRRIG;2
random_forest;por_genotipo;BR16;1;NIRRIG;NIRRIG;63
random_forest;por_genotipo;BR16;2;IRRIG;IRRIG;63
random_forest;por_genotipo;BR16;2;NIRRIG;IRRIG;2
random_forest;por_genotipo;BR16;2;IRRIG;NIRRIG;1
random_forest;por_genotipo;BR16;2;NIRRIG;NIRRIG;62
random_forest;por_genotipo;BR16;3;IRRIG;IRRIG;62
random_forest;por_genotipo;BR16;3;NIRRIG;IRRIG;4
random_forest;por_genotipo;BR16;3;IRRIG;NIRRIG;2
random_forest;por_genotipo;BR16;3;NIRRIG;NIRRIG;60
random_forest;por_genotipo;BR16;4;IRRIG;IRRIG;59
random_forest;por_genotipo;BR16;4;NIRRIG;IRRIG;0
random_forest;por_genotipo;BR16;4;IRRIG;NIRRIG;4
random_forest;por_genotipo;BR16;4;NIRRIG;NIRRIG;64
random_forest;por_genotipo;BR16;5;IRRIG;IRRIG;59
random_forest;por_genotipo;BR16;5;NIRRIG;IRRIG;4
random_forest;por_genotipo;BR16;5;IRRIG;NIRRIG;4
random_forest;por_genotipo;BR16;5;NIRRIG;NIRRIG;60
